title,video_id,description,published_at,duration,views,likes,comments
MLSE revolutionizes fan engagement with AWS generative AI | Amazon Web Services,v7UZpMHvDHU,"Maple Leaf Sports & Entertainment (MLSE), a global sports and entertainment leader, uses AWS generative AI to elevate how ...",2024-11-18T21:36:46Z,1:20,235,3,1
AWS App Studio - Generative AI-Powered Application Development | Amazon Web Services,yaTHZxMaH4s,The Fastest and Easiest Way to Build Applications. AWS App Studio is a generative AI–powered service that uses natural ...,2024-11-18T19:09:27Z,1:20,2625,72,5
Amazon S3 File Gateway cache sizing best practices | Amazon Web Services,-ibL1eEcROI,This video provides guidance on properly sizing the cache disk for your Amazon S3 File Gateway deployment. We'll cover key ...,2024-11-16T00:30:33Z,8:34,1058,34,1
AWS Innovation with FlexGen | Innovation Ambassadors,gzI_hBFOwno,"On this episode, we go behind the scenes with FlexGen, an innovator in large-scale battery energy storage systems. Hear about ...",2024-11-15T19:35:16Z,33:31,343,8,0
AWS Marketplace EMEA Marketplace Operator | Amazon Web Services,VfL22knwNhk,AWS Marketplace purchases are facilitated by Amazon Web Services EMEA SARL for purchases made by any AWS account ...,2024-11-15T17:00:35Z,5:50,267,4,0
Configuring Microsoft Remote Desktop Services using subscription licenses with AWS License Manager,B9mFLC8uIFg,In this video we are going to show you how AWS License Manager is used to provide subscription licenses for Microsoft Remote ...,2024-11-15T16:57:08Z,11:6,412,16,3
Back to Basics: Event-Driven Architecture with Kinesis,uwVYQv-HRYU,Disaster recovery is essential when it comes to using regional databases. Join Shailaja as she covers a pattern in which you can ...,2024-11-14T21:34:19Z,5:22,1119,55,2
Building Securely with Amazon Inspector  | Amazon Web Services,FmSns88eJ2E,"More than ever, it's crucial for organizations to continuously scan their resources for vulnerabilities. In this video, we'll be diving ...",2024-11-13T23:44:36Z,6:21,472,14,0
Inside Generative AI @ Amazon - Project Private Investigator | Amazon Web Services,k0u9n-k2GGY,"Amazon fulfillment centers across North America manage millions of products, and need to make sure these products are ready to ...",2024-11-13T19:33:53Z,9:18,369,8,2
Rapidly test your Apple apps on-device using remote USB and Amazon EC2 Mac | Amazon Web Services,wZ3HHn1uAiI,"In this video, learn how to connect local USB peripherals to Amazon EC2 Mac instances. Specifically, learn how to develop Apple ...",2024-11-12T23:05:55Z,1:37,510,10,1
Mastering Email Deliverability: Monitoring and Observability with Amazon SES | Amazon Web Services,tjRy2EyIBEc,"Monitoring and observability with Amazon SES is crucial for customers to ensure successful email delivery, maintain good sender ...",2024-11-12T21:03:39Z,16:42,545,18,2
Demo: Using IAM Identity Center account Instance for specialized use-cases | Amazon Web Services,ftLEWC9Z5bw,AWS IAM Identity Center is the AWS solution for connecting your workforce users to AWS managed applications such as Amazon ...,2024-11-12T20:31:32Z,10:58,482,9,0
Fluid Attacks Cut Costs by 70% with AWS Graviton | Amazon Web Services,yAWNsYbi-4c,"As cybersecurity concerns constantly evolve, Fluid Attacks finds innovative ways to spot vulnerabilities and protect businesses of ...",2024-11-12T20:21:50Z,2:8,592,21,0
Qonqord breaks the monolith and double its growth (Technical) - Cloud Adventures,nbYzqq4656A,"Qonqord CPO, Paul Walker, shares how they broke the monolith in favour of a microservices architecture. Paul explains the ...",2024-11-09T00:28:52Z,10:33,617,24,1
Qonqord breaks the monolith and double its growth (Business) - Cloud Adventures,AzjcYls6lL0,"Qonqord Partner, Hans Fermont, shares how, together with AWS, Qonqord was able to double its growth. Hans highlights the ...",2024-11-09T00:28:56Z,7:37,722,16,4
Conversations with Security Leaders - Season 3 | Amazon Web Services,fC6BU5OyDHg,"Join us for season 3 of Conversations With Security Leaders, featuring interviews with AWS CISO, Chris Betz, AWS Deputy CISO ...",2024-11-08T22:22:48Z,1:36,446,8,0
Introducing Amazon S3 | Amazon Web Services,ecv-19sYL3w,"Amazon Simple Storage Service (Amazon S3) is an object storage service offering industry-leading scalability, data availability, ...",2024-11-08T00:26:30Z,1:31,4733,105,14
"AWS for Software Companies, Spotlight Interview, Cribl | Amazon Web Services",gMOL9C1G6jQ,"This short video provides market trends and insights from AWS customer, Cribl. Myke Lyons, Chief Information Security Officer, ...",2024-11-07T20:27:04Z,1:50,218,6,1
How Caylent Accelerates MSSQL Database Modernization with Generative AI | Amazon Web Services,w9tnR0zVGZg,"This architecture video will explore Caylent's innovative approach to database migration evolution, emphasizing cost reduction, ...",2024-11-06T18:33:55Z,10:44,782,25,1
BrainBox AI revolutionizes facilities management with Amazon Bedrock | Amazon Web Services,AZ6DjTCVGy8,"BrainBoxAI is revolutionizing facility operations with ARIA, their #GenAI-powered ""Jarvis for buildings"" (like in Ironman) built on ...",2024-11-05T23:32:14Z,1:30,603,10,1
Integrate Amazon Bedrock with Amazon Redshift ML for generative AI applications| Amazon Web Services,kJts5KUt0y4,Amazon Redshift has enhanced its Redshift ML feature to support integration of large language models (LLMs). As part of these ...,2024-11-05T19:01:08Z,12:59,896,18,0
Customer journey to RISE with SAP on AWS with MIGNOW - Part 2 | Amazon Web Services,XoKwoB-vD1k,"In this video, we discussed how MIGNOW as Advanced tier AWS partner accelerating customer's migration to RISE with SAP on ...",2024-11-04T21:49:28Z,9:15,506,9,0
Demo: Fine-tuning for Anthropic&#39;s Claude 3 Haiku in Amazon Bedrock | Amazon Web Services,BfURFJbEQLA,Unlock the power of fine-tuning Anthropic's Claude 3 Haiku model with Amazon Bedrock. This comprehensive deep-dive demo ...,2024-11-01T21:36:34Z,23:6,2090,42,0
AWS Enables Ferrari Manufacturing Innovation | Amazon Web Services,97nyc5uHvgE,Discover how the legendary automotive brand Ferrari is driving manufacturing excellence by leveraging advanced AWS ...,2024-10-31T23:07:51Z,3:14,9313,207,12
Ferrari Elevates Digital Experiences with AWS | Amazon Web Services,SV5jjb52_G0,Ferrari delivers best-in-class digital customer experiences powered by AWS. Learn how the iconic automaker increases ...,2024-10-31T23:07:55Z,4:55,1628,25,3
Spotlight on Financial Services: Fireside Chat with Oxbury Bank | Amazon Web Services,nHGFyvY20Is,"In this video Senior Territory Manager Euan Wilson sits down with Stuart Ellidge, CTO of Oxbury Bank, to dive into the story of the ...",2024-10-31T16:38:28Z,20:40,631,26,0
Why am I charged for Amazon EBS when all my instances are stopped?,PNCuD2fxXJE,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-30T21:29:42Z,2:53,467,14,6
How do Amazon EC2 Reserved Instances that are size-flexible apply to my AWS bill?,pUuoARNWfWM,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-30T21:24:32Z,1:56,323,5,0
Connecting Amazon DataZone with external applications via JDBC connectivity | Amazon Web Services,dFsoldpcF9M,Use popular tools to analyze governed data effortlessly. Amazon DataZone supports authentication through the Athena JDBC ...,2024-10-30T20:57:31Z,7:26,597,15,1
Amazon DynamoDB zero-ETL integration with Redshift - Amazon DynamoDB Nuggets | Amazon Web Services,HJEQA4tjQYs,"Amazon DynamoDB zero-ETL integration with Redshift presented by John Terhune, Sr. Solutions Architect, AWS In this short ...",2024-10-29T23:05:27Z,6:20,950,22,0
Amazon EC2 MAC Enhanced Remote Access with Citrix | Amazon Web Services,YDWu1jNHiAo,"In this video, we demonstrate Remote Desktop management of AWS EC2 Mac instances using Citrix VDA support for MacOS.",2024-10-29T17:55:43Z,3:38,587,14,0
Serverless moments with AWS Lambda and Amazon ECS | Amazon Web Services,oubk8Au4o7c,This video is part of a larger 10th anniversary plan for AWS Lambda and Amazon ECS to feature Serverless Heroes sharing their ...,2024-10-28T16:14:42Z,4:36,1040,40,1
How to create an investor pitch deck with PartyRock | Amazon Web Services,Ky27uolkuek,"Amazon Web Services AI expert Dr. Nashlie Sephus meets Nilajah, the owner of Wadada Healthy Market and Juice Bar in Atlanta, ...",2024-10-25T22:29:45Z,3:27,2331,34,0
Inside Generative AI @ Amazon - AI Shopping Guides | Amazon Web Services,8dgUuY3kr78,"Amazon has been at the forefront of AI innovation for decades. Across Amazon, we're delivering new value to customers – from ...",2024-10-25T16:42:05Z,8:34,874,8,0
Amazon GuardDuty Runtime Monitoring and Malware Protection for S3 | Amazon Web Services,kL4x2v9u224,"As AWS workloads evolve, new accounts are added and zero-day vulnerabilities emerge. AWS workloads need centralized ...",2024-10-24T22:55:25Z,7:58,881,27,2
How to create communications for different customers with PartyRock | Amazon Web Services,OCHTozojUqI,"Amazon Web Services AI expert Dr. Nashlie Sephus meets Tim, the general manager of StretchLab, which provides clients with ...",2024-10-24T20:33:07Z,4:3,814,4,0
Create easy-to-digest communications for your customers with PartyRock | Amazon Web Services,2uPy36tJU6Q,"Amazon Web Services AI expert Dr. Nashlie Sephus meets Jenny, the head of Dog Gone Seattle, a dog fostering and adoption ...",2024-10-24T20:33:23Z,3:44,721,3,0
How to improve your website content for SEO with PartyRock | Amazon Web Services,v2iJErsGosE,"Amazon Web Services AI expert Dr. Nashlie Sephus meets Shaniqua, the owner of Pearl Salon Suites, a co-working space for ...",2024-10-24T20:33:01Z,3:48,1306,9,1
Generative AI Journeys - Fireside Chat with Box | Amazon Web Services,HOIPbNSuLPo,"Join Swami Sivasubramanian, senior vice president of database and machine learning at AWS, as he talks to Ben Kus, CTO at ...",2024-10-24T16:48:51Z,15:48,596,6,0
Inside Annapurna Labs where AWS makes custom chips for Gen AI and beyond | Amazon Web Services,4nfkonjjICo,"At Annapurna Labs, AWS employees are pushing the limits of what it means to design and build computer hardware to help ...",2024-10-23T23:21:08Z,2:58,6664,135,12
Building software to power custom chips at AWS Annapurna Labs | Amazon Web Services,n38WDflRbjQ,"As an AWS senior software engineer, Laura Sharpless leads a team that builds the software that powers AWS custom chips.",2024-10-23T23:21:17Z,1:35,1733,17,1
Designing custom chips at AWS Annapurna Labs | Amazon Web Services,I93JcFFS0Co,"As an AWS hardware development engineer at Annapurna Labs, Will Orr helps design the circuit boards for all AWS custom chips ...",2024-10-23T23:21:12Z,49,2965,67,2
Automated optimization for Apache Iceberg tables using Glue Data Catalog | Amazon Web Services,xOXE7AS-pNA,AWS Glue Data Catalog supports optimizations making it easier for you to keep your transactional data lakes storage optimized by ...,2024-10-23T19:31:15Z,5:33,874,24,0
Skills over gender: Celebrating women in tech | Amazon Web Services,W4VBfnVMiBU,"Discover the inspiring world of women in technology with our latest video, ""Skills Over Gender: Celebrating Women in Tech.",2024-10-23T18:44:14Z,59,523,19,4
F1 Insights powered by AWS | Time Lost | Amazon Web Services,l8Nxp4s7IJ0,"Time Lost is the latest graphic from F1 Insights, powered by AWS. F1 Insights are a series of broadcast graphics that aim to ...",2024-10-22T23:05:10Z,1:32,821,19,1
Adding local bank accounts and disbursement methods in local currencies | Amazon Web Services,m29nXNUbMQo,"AWS Marketplace announces support for sellers to create contract pricing private offers in four new currencies, and choose ...",2024-10-22T20:43:50Z,4:46,348,11,0
Cybersecurity - Building a cybersecurity strategy | Amazon Web Services,HK9T6l7BhGw,A training for small business owners and decision makers to explore key considerations for protecting your business from ...,2024-10-22T19:53:46Z,2:55,481,14,1
From Lagging to Leading: Navigating AI Adoption Challenges | Amazon Web Services,oQsOERSyeYw,"In this episode, AWS Enterprise Strategists provide a roadmap for organizations who may feel they've missed the first-mover ...",2024-10-22T19:22:52Z,22:13,606,7,1
How do I avoid future charges when I use the AWS Free Tier?,CnhMa2AntEQ,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-22T19:13:07Z,2:34,261,9,1
How do I request a vCPU service quota increase for my Amazon EC2 On-Demand Instance?,fKVET6PwTPA,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-22T19:05:15Z,2:36,256,4,0
VPBank Fuels Digital Transformation and Enhances Cloud Skills with AWS | Amazon Web Services,1BHD63yw4xY,"As part of a five-year digital transformation strategy, VPBank embarked on a journey to migrate critical workloads to Amazon Web ...",2024-10-21T22:30:18Z,2:13,593,10,0
"Shifting to managed, how IBM and AWS customers are getting away from undifferentiated lifting",qz2BnuyACzE,As customers modernize their business and tool chains there is a growing desire refocus business resources to what is most ...,2024-10-21T20:14:17Z,23:21,516,10,1
Amazon RDS for MySQL zero-ETL integration with Amazon Redshift Demo | Amazon Web Services,_e7Q65XW9gU,Amazon RDS for MySQL zero-ETL integration with Amazon Redshift is now generally available. This feature enables near ...,2024-10-18T22:57:41Z,9:16,1021,15,1
AWS ElastiCache serverless cost estimator for provisioned instances | Amazon Web Services,dUvgZeKt7bM,This is a how to video on using a calculator to estimate the cost of ElastiCache workloads based on provisioned instances if ...,2024-10-18T22:00:10Z,11:10,793,12,0
"Optimize Data Search with Amazon Bedrock and SAP GenAI Hub, Part-2 | Amazon Web Services",YuHvdfFKBHY,"In this video, LeverX and AWS will discuss one business use case that customer is building with LeverX to show effective methods ...",2024-10-18T19:58:54Z,7:56,441,10,0
How do I identify charges from AWS on my credit card statement?,i-u7Ubiw8DA,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-18T14:37:22Z,2:23,138,7,0
How do I use AWS promotional credits to purchase a Reserved Instance or Savings Plan?,9EeOhShoeVk,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-18T14:11:14Z,1:54,139,3,0
Back to Basics: Secrets Management,NwEg5yKv_QE,Learn how to effectively manage and protect your application's secret information using AWS Secrets Manager. In this episode ...,2024-10-17T17:11:00Z,4:36,892,40,0
"AWS for Software Companies, Spotlight Interview, Databricks | Amazon Web Services",hzzllOZiHpQ,"This short video provides market trends and insights from AWS customer, Databricks. David Meyer, SVP Product, shares how ...",2024-10-16T20:25:29Z,1:2,226,2,0
Cloud Migration - Assessing your Cloud Migration readiness | Amazon Web Services,iGMJ3PldS5o,A training for small business owners and decision makers to understand the importance of AWS partners in the migration process ...,2024-10-16T18:50:00Z,3:1,1464,5,0
How do I find the top contributors to NAT gateway traffic in my Amazon VPC?,99FruiEkd9k,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-16T13:29:44Z,4:42,550,15,0
Welcome to the AWS EUC Community | Amazon Web Services,ZvX-CvR0M50,EUC Community: https://go.aws/4dO4UZX EUC Playlist: https://go.aws/3UaQxHX What's New?: https://go.aws/4eMJxcI Desktop ...,2024-10-15T23:27:16Z,2:49,510,9,0
Making Better Decisions with Data - Data visualization and storytelling | Amazon Web Services,XiN1OETIdJg,A training for small business owners and decision makers to understand basic definitions of cybersecurity. Are you ready to build ...,2024-10-15T22:02:27Z,3:10,333,9,0
Making Better Decisions with Data - Using data for business insights | Amazon Web Services,DIYwOKJnrkM,A training for small business owners and decision makers to understand basic definitions of cybersecurity. Are you ready to build ...,2024-10-15T22:00:38Z,2:34,141,4,0
Deploy and Use COAST Dashboards for Amazon Managed Grafana | Amazon Web Services,OxTxxzKYaEQ,"In this video, you'll see how to deploy and use Cost Optimization and Savings Toolkit (COAST) dashboards for Amazon Managed ...",2024-10-15T18:30:47Z,12:49,362,2,0
Cybersecurity - Ongoing management of security risks | Amazon Web Services,9X5R_V2fgfE,A training for small business owners and decision makers to identify the importance of building an incident response plan and a ...,2024-10-14T23:18:09Z,2:32,431,11,1
Cybersecurity - Defining cybersecurity issues and risk management | Amazon Web Services,zr0nfFiktEU,A training for small business owners and decision makers to understand basic definitions of cybersecurity. Are you ready to build ...,2024-10-14T23:17:37Z,1:56,560,21,0
Set up permissions segregation with Grafana Teams | Amazon Web Services,YTX1S6LRcmQ,"In this video, you'll see how to set up permissions segregation with Grafana Teams. With this capability, you can address security ...",2024-10-14T19:17:28Z,4:5,407,9,2
What do I do if I&#39;m having trouble signing in to or accessing my AWS account?,Hni9bR8n6XY,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-12T02:01:01Z,3:25,728,13,4
Why did I receive a bill after I closed my AWS account?,RZnAPiY1ZZU,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-11T19:48:41Z,3:28,543,11,0
Query and Visualize CloudWatch Logs in Amazon Managed Grafana | Amazon Web Services,t3g17ye6drI,"In this video, you'll see how to query and visualize CloudWatch Logs in Amazon Managed Grafana. With this capability, you can ...",2024-10-10T22:12:25Z,2:51,713,24,0
.NET Observability: Traces with OpenTelemetry and AWS X-Ray | Amazon Web Services,hQh12OQQoCQ,"In this tutorial, you'll learn how to unlock the power of observability in your .NET 8+ applications using OpenTelemetry, ...",2024-10-10T18:28:27Z,7:49,516,18,1
How do I create a SQL Server Always On availability group cluster in the AWS Cloud?,9CqhH03vLeo,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-09T12:03:55Z,13:25,429,14,0
Generative AI Journeys - Fireside Chat with BrainBoxAI | Amazon Web Services,pWCfb_LGHjs,"AWS VP, Database and Machine Learning, Swami Subramanian, and Jean-Simon Venne, CTO and Co-Founder of BrainBox AI, ...",2024-10-08T23:31:34Z,16:56,827,7,1
AWS Mainframe Modernization Overview | Amazon Web Services,4_6MqYJEfOU,"AWS Mainframe Modernization is a set of managed tools that provide infrastructure and software for seamlessly migrating, ...",2024-10-08T22:14:54Z,2:,1117,23,0
Amazon Aurora ML with Amazon Bedrock | Amazon Web Services,-AwHAMZtPis,"Learn more about Generative AI, PostgreSQL pgvector, Amazon Aurora ML, and Amazon Bedrock in this short video. Interested in ...",2024-10-08T20:05:14Z,4:15,752,24,0
Automating with AI/ML - The Future of Generative AI for Small Businesses | Amazon Web Services,9ycffyBUV_8,A training for small business owners and decision makers to identify key considerations for an AI-driven future. Are you ready to ...,2024-10-04T22:30:42Z,2:7,1586,18,5
Automating with AI/ML - Implementing Generative AI for Productivity | Amazon Web Services,jrqmlsTpHLo,A training for small business owners and decision makers to explore generative AI use cases such as increasing productivity and ...,2024-10-04T22:25:34Z,2:4,416,15,4
Automating with AI/ML - Introduction to Generative AI | Amazon Web Services,xcSZnGqn7tw,A training for small business owners and decision makers to understand the basic concepts of generative AI. Are you ready to ...,2024-10-04T22:18:00Z,2:10,785,13,0
MOSTLY AI uses generative AI and AWS to transform data use | Amazon Web Services,-EcyiqgcbrE,MOSTLY AI helps Fortune 100 and financial services companies work smarter with the large volumes of structured and ...,2024-10-04T21:08:13Z,1:27,643,8,2
"AWS Behind the Cloud: Meet Olivia Peterson, AWS WWPS Sales Executive | Amazon Web Services",7vyYRgHybmE,"Sarah Storelli, sr. global marketing leader, Amazon Web Services (AWS) Worldwide Public Sector (WWPS) sits down with Olivia ...",2024-10-04T16:35:58Z,10:30,1020,28,1
Gen AI and the Evolving Workplace: Strategies for Adapting and Thriving | Amazon Web Services,ErS07uLHF8w,The rapid advancement of generative AI is fundamentally reshaping the modern workplace. As organizations grapple with the ...,2024-10-04T16:27:26Z,24:56,1768,34,1
Application performance monitoring with AWS Cloudwatch and myApplications | Amazon Web Services,I0xIXhqXEik,"AWS is introducing ""myApplications"" and ""CloudWatch Application Signals"" to help customers better visualize, manage, and ...",2024-10-03T23:44:10Z,2:11,529,11,1
Back to Basics: Hosting a Static Website on AWS,9zBHCqhqhe8,"In this episode, join Even as he breaks down the AWS Services that can be used to host your static website in a scalable manner ...",2024-10-03T20:35:06Z,5:7,2159,58,2
How do I fix &quot;Cannot find module&quot; or &quot;Cannot find Package&quot; errors when I run Lambda code in Node.js?,JK2BvFVl1a8,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-03T12:23:14Z,5:16,673,21,1
How do I troubleshoot a CloudFormation stack that stuck in CLEANUP_IN_PROGRESS state?,HJUT9BvpY4Y,"For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-10-03T12:18:19Z,6:21,528,21,0
AppsFlyer collaborates with AWS for commerce media networks and social platforms,Hn2H-LoLpCM,"Discover how AppsFlyer leverages AWS Clean Rooms to deliver a seamless, scalable, and globally accessible solution for ...",2024-10-01T16:49:06Z,2:4,389,13,0
IndiaMart&#39;s Indic Language Translation: Unlocking growth with GENAI on AWS | Amazon Web Services,BKWWD1fsCcE,"In this insightful video, we have the privilege of conversing with Mr. Vikram Varshney, Vice President at IndiaMart Intermesh Ltd.",2024-10-01T01:26:17Z,8:10,710,13,5
"Rulematch Works with AWS Partner Ergon for Innovation, Speed, Security | Amazon Web Services",Fss5sbzyFXo,"Cryptocurrency and digital asset trading venue Rulematch chooses its partners carefully, says CEO David Riegelnig.",2024-09-30T22:02:12Z,1:58,170,2,0
Project Ceiba - AWS and NVIDIA constructing the world&#39;s largest AI supercomputer: Extended Version,wZ_KK3FX9mY,"Project Ceiba, a groundbreaking collaboration between AWS and NVIDIA, aims to push the boundaries of artificial intelligence ...",2024-09-30T19:51:25Z,2:52,1043,29,1
How do I reset my AWS root user account MFA device?,FH34fT-2Gh8,"Skip directly to the demo: 0:21 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-09-28T13:40:01Z,3:1,982,26,6
Unleashing Stability AI for Advertising &amp; Marketing Campaigns in Amazon Bedrock,-EtIoXJ12hs,Discover the transformative power of Stability AI's text-to-image models in creating compelling advertising and marketing assets ...,2024-09-27T17:32:29Z,7:54,761,22,0
Intuit uses an AWS Solution to automate Security Hub remediations | Amazon Web Services,E1UC3V61uyQ,Learn how Intuit uses Automated Security Response on AWS to quickly remediate security findings across hundreds of accounts.,2024-09-27T00:11:57Z,1:25,385,7,0
Solving with AWS Solutions: Intuit automates Security Hub remediations  | Amazon Web Services,h1PMyBsHR-s,Intuit dives into how they use Automated Security Response on AWS solution to automate remediations for AWS Security Hub ...,2024-09-27T00:12:26Z,2:30,722,17,0
How can I publish a message to an Amazon SNS topic using an AWS Lambda function?,93ULaxxWsm0,"Skip directly to the demo: 0:28 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-09-26T11:06:21Z,3:54,521,9,1
How can I use a Lambda function to copy files from one Amazon S3 bucket to another?,8N9iQUDyCMw,"Skip directly to the demo: 0:24 For more details on this topic, see the Knowledge Center article associated with this video: ...",2024-09-26T11:03:06Z,8:21,1006,16,5
Amazon EventBridge Pipes Integration with Amazon Timestream for LiveAnalytics | Amazon Web Services,bcoPFOQ1URs,"Amazon TimeStream for LiveAnalytics is now an Amazon EventBridge Pipes target, simplifying the ingestion of time-series data ...",2024-09-25T22:47:34Z,18:22,296,3,0
"AWS Graviton4-based Amazon EC2 C8g, M8g, and R8g Instances | Now Generally Available",ucpUqY__Otg,"This video announces the availability of AWS Graviton4-based Amazon EC2 C8g, M8g, and R8g instances. Learn more how to ...",2024-09-25T21:25:28Z,34,1376,48,5
Create an AWS Marketplace Private Offer from your Salesforce CRM | Amazon Web Services,O_1B3vFfVJ4,"In this video, you'll learn how to extend a Private Offer (PO) for your AWS Marketplace Product from your Salesforce CRM using ...",2024-09-25T20:19:40Z,7:37,857,10,1
Customer Service Email Analysis with Amazon Bedrock Foundation Model | Amazon Web Services,-4DgByrQCXQ,"In this video, you'll learn how to use Amazon Bedrock Foundation Models (LLMs) to provide a structured email analysis of ...",2024-09-25T17:57:02Z,22:13,666,20,1
Audi AG Uses Amazon Bedrock to Build Generative AI Chatbot | Amazon Web Services,CY1ZpvAXVLk,"For Bernd Schuster, cloud architect at Audi AG, working with Amazon Web Services (AWS) is the embodiment of living 'Vorsprung ...",2024-09-25T16:56:30Z,1:4,311,10,0
How BTG Expanded Globally with AWS and Orca Security | Amazon Web Services,s0-xDJQ-Mwc,"Discover how BTG, the largest investment bank in Latin America, successfully launched its first investment app for end customers ...",2024-09-24T21:24:50Z,1:22,579,29,1
Cost Optimizer for Amazon WorkSpace no internet deployment | Amazon Web Services,VyUIqPVz4Q8,00:00 - Intro 00:31 - ECR Repository 02:00 - VPC Endpoints 03:48 - Permissions 04:59 - ECS Task 05:46 - EventBridge Rules ...,2024-09-24T21:07:03Z,6:46,456,15,1
Amazon Verified Permissions - Caching authorization decisions to reduce latency and cost,tHS8uNc7m3Q,In this video we explore how to use decision caching with Amazon API gateway to reduce latency and costs. We'll walk through ...,2024-09-24T20:49:21Z,19:49,561,10,0
Innovation and Transformation - Amazon’s Culture of Innovation | Amazon Web Services,YaRn6TbnRdM,This course provides a high-level overview of Amazon's approach to innovation. It introduces four interdependent elements: ...,2024-09-24T15:59:24Z,5:42,370,12,3
meeting.ai Optimizes Meeting Productivity with Amazon Bedrock and Claude 3 | Amazon Web Services,dQAhbGMaQwg,"Explore how meeting.ai, an innovative Indonesian startup, is leveraging the power of Amazon Bedrock and Anthropic's Claude 3 ...",2024-09-23T22:57:25Z,3:42,576,10,2
Calculating the Cost and ROI of Generative AI | Amazon Web Services,5uKFszLtnjI,"Generative AI has the potential to revolutionize industries and organizations, but how much will it cost you, and how do you ...",2024-09-23T20:15:32Z,39:41,1039,24,0
Enterprise AI Revolution: How AI21 Labs and Amazon Bedrock are Changing the Game,Tktw--5cqdk,"Join us as we explore the limitations of LLMs in enterprise use cases and how AI21 Labs' foundation models, in collaboration with ...",2024-09-23T17:55:52Z,1:41,693,21,0
Smartsheet Revolutionizes Work with Amazon Q Business | Amazon Web Services,I2d6dDnXWJA,"Listen in as Smartsheet VP of Engineering, JB Brown, takes to the TinyMic to discuss how Smartsheet leverages Amazon Q ...",2024-09-20T22:21:00Z,1:25,737,8,2
