Name,Location,Category,Bio URL
Aditya Nama,India,Security Builder since 2023,https://adiintify.com
Adnan Al Hakim,"Bogor, Indonesia",Containers Builder since 2022,https://www.linkedin.com/in/adnanhakiim/
Adrian Mudzwiti,South Africa,Serverless Builder since 2021,https://linktr.ee/adrianm10
Adrian Pozueco Alons,"Asturias, Spain",Serverless Builder since 2024,https://www.linkedin.com/in/adrian-pozueco-ba576a52/
Adriana Di Avila,"CDMX, México",Machine Learning Builder since 2024,https://www.linkedin.com/in/adriana-di-avila
Adrien Mornet,France,Containers Builder since 2023,https://adrien-mornet.tech
Adrián Mezei,"Budapest, Hungary",Serverless Builder since 2023,https://www.linkedin.com/in/adrian-mezei/
Afif Akbar Iskandar,"Indonesia, Indonesia",Machine Learning Builder since 2022,https://linkedin.com/in/afifai
Ahmad Abou Kanj,"Paris, France",Cloud Operations Builder since 2022,https://www.linkedin.com/in/ahmadkanj/
Ahmad Mustafa Anis,"Islamabad, Pakistan",Machine Learning Builder since 2022,https://medium.com/@ahmadanis5050
Ahmed Abdelazeem Adam,"Cairo, Egypt",Machine Learning Builder since 2021,https://www.linkedin.com/in/aadam80
Ahmed Adel El-Adl,Egypt,Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/ahmedadel333/
Ahmed Bebars,USA,Containers Builder since 2023,abebars.io
Ahmed El-Demasy,Egypt,Serverless Builder since 2022,https://www.linkedin.com/in/demasy
Ahmed Eltaweel,"Cairo, Egypt",Machine Learning Builder since 2022,https://www.linkedin.com/in/ahmed-eltaweel-5b53a38b
Ahmed Hussein Bin Shehab,United Arab Emirates,Containers Builder since 2022,No URL
Ahmed Kadhom,"Maysan, Iraq",Security Builder since 2023,https://www.linkedin.com/in/ahmedkadhom313/
Ahmed Magdy Abdel Basset Ali,Egypt,Data Builder since 2023,https://www.linkedin.com/in/ahmed-magdy-84b030144/
Ahmed Metwally,Egypt,Containers Builder since 2022,https://www.linkedin.com/in/metwally/
Ahmed Mohamed,"London, United Kingdom",Serverless Builder since 2021,https://www.me2resh.com/
Ahmed Salem,"Abu Dhabi, United Arab Emirates",Cloud Operations Builder since 2023,https://www.linkedin.com/in/ahmed-salem-54406976/
Ahmed Shendy,"New Cairo, Egypt",Networking & Content Delivery Builder since 2020,https://www.linkedin.com/in/ahmed-shendy/
Ahmed Srebrenica,"Zenica, Bosnia–Herzegovina",Containers Builder since 2024,https://www.ahmedsrebrenica.com/
Ahmed Tarek,"Cairo, Egypt",Machine Learning Builder since 2022,https://www.linkedin.com/in/ahmed-tarek-4135251b3/
Ahmed Womiloju,"Lagos, Nigeria",Data Builder since 2023,https://www.linkedin.com/in/womiloju-ahmed-69715782
Ahmed Zidan,Malaysia,Containers Builder since 2021,https://www.linkedin.com/in/ahmedmahmoudzidan/
Ai Hayakawa,Japan,Cloud Operations Builder since 2021,https://www.linkedin.com/in/ai-hayakawa/
Airat Yusuff,"Manchester, United Kingdom",Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/khairah-yusuff
Ajay Dhungel,"Kathmandu, Nepal",Dev Tools Builder since 2023,https://www.linkedin.com/in/ajay-dhungel-2244b5193/
Ajay Kumar S,"Chennai, India",Containers Builder since 2020,https://www.linkedin.com/in/movingtoweb/
Ajay Kumar Yegireddi,"Hyderabad, India",Dev Tools Builder since 2024,https://www.linkedin.com/in/ajay-kumar-yegireddi-cloudbook/
Ajay Wadhara,"London, United Kingdom",Serverless Builder since 2020,https://www.linkedin.com/in/ajaywadhara/
Ajit Inamdar,"Mumbai, India",Networking & Content Delivery Builder since 2021,https://in.linkedin.com/in/ajitinamdar
Ajmal Nazir,"Doha, Qatar",Containers Builder since 2021,https://www.whatsgoingonaws.com
Aju Tamang,"Kathmandu, Nepal",Containers Builder since 2021,https://csaju.com/about/
Akande Olalekan Toheeb,"Ibadan, Nigeria",Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/akande-olalekan-toheeb-2a69a0221/
Akanksha Rana,India,Serverless Builder since 2023,https://www.linkedin.com/in/akanksha-rana-93d1111
Akash Tyagi,"Singapore, Singapore",Containers Builder since 2022,https://www.linkedin.com/in/akashdktyagi
Akesh Patil,"Pune, India",Dev Tools Builder since 2022,https://www.linkedin.com/in/iakeshpatil/
Akhan Zhakiyanov,Russia,Containers Builder since 2024,No URL
Akhil Peruri,"Hyderabad, India",Containers Builder since 2023,https://www.linkedin.com/in/akhil-peruri-3333321abc1233333
Akhilesh Yadav,"Mumbai, India",Serverless Builder since 2021,https://ayzom.com
Aki Ristkari,"Tampere, Finland",Serverless Builder since 2021,No URL
Akifumi Niida,"Kanagawa, Japan",Containers Builder since 2022,https://twitter.com/nid777
Akintola Adjibao,"Cotonou, Benin",Containers Builder since 2022,https://www.linkedin.com/in/akintolaadjibao
Akira Nishikawa,"Kagoshima, Japan",Security Builder since 2024,https://www.linkedin.com/in/akira-nishikawa-74429639/
Akira Sato,"Hokkaido, Japan",Dev Tools Builder since 2024,https://zenn.dev/akira_blog
Akira Tateishi,"Sagamihara, Japan",Serverless Builder since 2020,https://www.i-gnote.com
Akrur Neupane,"Kathmandu, Nepal",Network Content & Delivery Builder since 2024,https://www.linkedin.com/in/neupaneakrur/
Akwo-Fese Efimba,United Kingdom,Network Content & Delivery Builder since 2022,No URL
Alan Blockley,"Brisbane, Australia",Serverless Builder since 2023,https://www.linkedin.com/in/alan-blockley
Alanoud Saud Alassaf,"Riyadh, Kingdom of Saudi Arabia",Game Tech Builder since 2021,https://www.linkedin.com/in/alanoudalassaf
Alavi Been Azam,"Dhaka, Bangladesh",Machine Learning Builder since 2022,https://www.linkedin.com/in/alavibeenazam/
Alba Garcia Boiza,"Madrid, Spain",Cloud Operations Builder since 2024,No URL
Albertini Francis,Kenya,Security Builder since 2022,https://www.linkedin.com/in/albertini-francis-5ab9b2129/
Alberto Souza Fernandes,"São Paulo, Brazil",Security Builder since 2023,https://www.linkedin.com/in/alberto-souza-fernandes-75236b165/
Alejandro Castañeda,"Medellín, Colombia",Dev Tools Builder since 2023,https://alejo.awslearn.cloud/
Alejandro Figueroa,"Bogotá, Colombia",Data Builder since 2023,https://medium.com/@1alejofig1
Alejandro Lazaro Chueca,"Zaragoza, Spain",Security Builder since 2022,https://www.linkedin.com/in/alejandro-lazaro-chueca/
Alejandro Velez,"Medellin, Colombia",Dev Tools Builder since 2023,https://www.linkedin.com/in/alejandro-velez-12aaa0115/
Aleksander Patschek,"Katowice, Poland",Front-End Web & Mobile Builder since 2022,https://links.fsgeek.pl/
Aleksandr Krasnov,"Vancouver, Canada",Security Builder since 2023,https://www.linkedin.com/in/alekkras
Aleksandra Drobnjak,Serbia,Security Builder since 2024,https://www.linkedin.com/in/aleksandra-drobnjak
Aleksandra Ljuboje,"Sarajevo, Bosnia and Herzegovina",Network Content & Delivery Builder since 2023,https://www.linkedin.com/in/aleksandra-ljuboje-023864235/
Aleksey Beloliptsev,"Almaty, Kazakhstan",Containers Builder since 2020,https://www.linkedin.com/in/abeloliptsev/
Alessandro Marino,Italy,Containers Builder since 2023,https://alessandromarinoac.com/
Alex Bzdel,"Boston, USA",Machine Learning Builder since 2023,https://abzdel.github.io/
Alex Cheng,"Hong Kong, Hong Kong",Machine Learning Builder since 2021,https://www.linkedin.com/in/alexcheng852/
Alex Kates,"Philadelphia, USA",Serverless Builder since 2020,https://alexkates.dev
Alex Kearns,United Kingdom,Serverless Builder since 2022,https://www.alexkearns.co.uk
Alex Patterson,"Grand Rapids, USA",Front-End Web & Mobile Builder since 2020,https://alexpatterson.dev
Alex Radu,"Glasgow, Scotland",Cloud Operations Builder since 2022,https://www.linkedin.com/mwlite/in/maradu
Alex Rodríguez Fernández,"Barcelona, Spain",Cloud Operations Builder since 2024,https://www.linkedin.com/in/alexrodriguezfernandez/
Alex White,"Sydney, Australia",Serverless Builder since 2021,https://www.linkedin.com/in/agwhi/
Alexander Bolaño Cervantes,"Bogotá, Colombia",Data Builder since 2022,https://www.linkedin.com/in/alexanderbolano/
Alexander Hose,"Frankfurt, Germany",Security Builder since 2023,https://alexanderhose.com/
Alexander Nicholson,"Tokyo, Japan",Containers Builder since 2022,https://alexander.town/
Alexander Rey,"Ottawa, Canada",Serverless Builder since 2023,https://alexanderrey.ca/
Alexander Spoecker,"Chiang Mai, Thailand",Serverless Builder since 2022,https://www.linkedin.com/in/alexander-spoecker/
Alexandra Fernandez,USA,Machine Learning Builder since 2023,https://www.linkedin.com/in/alexandra-fernandezg/
Alexandre Bruffa,"Lima, Peru",Serverless Builder since 2023,https://alexandrebruffa.com/
Alexandre Gusson,"Sao Paulo, Brazil",Security Builder since 2022,https://www.linkedin.com/in/alexandre-gusson-36283117b
Alexandre Lopes,"Belo Horizonte, Brazil",Data Builder since 2021,https://www.linkedin.com/in/alexandreaslopes
Alexandru Dejanu,"Bucharest, Romania",Dev Tools Builder since 2022,https://twitter.com/dejanualex
Alexey Vidanov,"Hamburg, Germany",Data Builder since 2024,https://www.linkedin.com/in/vidanov/
Alexis Alvarez,"Trujillo, Perú",Data Builder since 2022,https://www.linkedin.com/in/alexistic/
Alexis Araujo,"Mexico City, Mexico",Data Builder since 2023,https://www.linkedin.com/in/alexisaraujo/
Alexis Polo,"Guayaquil, Ecuador",Dev Tools Builder since 2022,https://www.linkedin.com/in/alexispolo/
Alexy Grabov,"Beer-Sheva, Israel",Serverless Builder since 2024,https://www.linkedin.com/in/alexygrabov/
Alexy Pulivelil,"Kerala, India",Containers Builder since 2021,https://www.linkedin.com/in/alexypulivelil/
Ali Haydar,"Auckland, New Zealand",Serverless Builder since 2021,https://www.linkedin.com/in/ahaydar
Ali Jafri,United Kingdom,Front-End Web & Mobile Builder since 2022,https://www.linkedin.com/in/aliajafri/
Ali Yigit Ogun,"Warsaw, Poland",Storage Builder since 2022,https://www.linkedin.com/in/yigitaliogun/
Aliaksandr Dounar,"Minsk, Belarus",Containers Builder since 2021,https://alexander-dovnar.me
Alice Thomaz,Brazil,Storage Builder since 2023,https://www.linkedin.com/in/alice-thomaz-b6b52b14a/
Aliraza Khan,"Mumbai, India",Cloud Operations Builder since 2023,https://www.linkedin.com/in/aliraza-khan-9a1b95184/
Allan Chua,"Singapore, Singapore",Serverless Builder since 2022,https://www.linkedin.com/in/allan-chua-467402103/
Almeida de Almeida,"Maputo, Mozambique",Network Content & Delivery Builder since 2022,https://almeidadealmeida.com/
Alok Kumar,"Noida, India",Dev Tools Builder since 2022,https://youtube.com/c/AlokKumar-CloudKeFunde
Alondra Warren,"Palm Springs, USA",Storage Builder since 2023,https://medium.com/@daisydocuments
Alonso Suarez,"Vancouver, Canada",Serverless Builder since 2024,https://ca.linkedin.com/in/alonsosuarez
Alvin Johansson,"Örebro, Sweden",Serverless Builder since 2024,https://www.linkedin.com/in/alvin-johansson/
Amador Criado,"Barcelona, Spain",Serverless Builder since 2021,https://www.linkedin.com/in/amador-criado-48617415/
Amal K Abraham,"Bangalore, India",Network Content & Delivery Builder since 2022,https://www.linkedin.com/in/amal-abraham-55415539/
Aman Makwana,"Rajkot, India",Storage Builder since 2021,https://amanmakwana
Aman Pathak,"Delhi, India",Cloud Operations Builder since 2023,https://www.linkedin.com/in/aman-devops
Amanda Quint,"Springfield, USA",Dev Tools Builder since 2022,https://amandaquint.dev
Amandeep Singh,India,Front-End Web & Mobile Builder since 2023,https://www.linkedin.com/in/amandeep-singh-bajwa/
Amardeep Singh,Canada,Machine Learning Builder since 2020,https://www.linkedin.com/in/amardeep-s-70a471a3/
Amarjit Dhillon,"Toronto, Canada",Containers Builder since 2024,https://www.linkedin.com/in/amaardhillon/
Amaury Borges Souza,"Monte Mor, São Paulo, Brazil",Containers Builder since 2023,https://www.linkedin.com/in/amaurybsouza/
Amelia Hough-Ross,"Columbia, USA",Machine Learning Builder since 2023,https://www.linkedin.com/in/ameliahoughross/
Amila Kumaranayaka,"Dortmund, Sri Lanka",Graviton Arm Builder since 2021,https://www.linkedin.com/in/amila-kumaranayaka
Amina Ibrahim,"Jeddah, Saudi Arabia",Security Builder since 2024,https://dev.to/aminabrhm4
Aminat Usman,"Corsicana, USA",Dev Tools Builder since 2023,No URL
Amir Hossain,"Dhaka, Bangladesh",Cloud Operations Builder since 2023,https://www.linkedin.com/in/ahshohag/
Amit Duwal,"Kathmandu, Nepal",Machine Learning Builder since 2024,https://www.linkedin.com/in/amit-duwal-696310200/
Amit Kayal,"Bangalore, India",Serverless Builder since 2020,https://www.linkedin.com/in/amit-kayal-ab8aa7/
Amit Kumta,"Toronto, Canada",Cloud Operations Builder since 2022,https://www.linkedin.com/in/amitkumta/
Amit Sarkar,"San Jose, California, USA",Machine Learning Builder since 2022,https://www.intelligentcloud.guru/
Amit Tidke,"Bucharest, Romania",Cloud Operations Builder since 2020,https://www.linkedin.com/in/amittidke/
Aml Abdelsalam Amer,"Cairo, Egypt",Storage Builder since 2023,https://www.linkedin.com/in/aml-abdelsalam-717431259
Ammar Alim,"Seattle, USA",Security Builder since 2024,https://www.linkedin.com/in/ammar-alim-6630a977/
Amod Kadam,"Mumbai, India",Containers Builder since 2023,https://www.linkedin.com/in/amodkkadam/
Amreth Chandrasehar,"San Jose, USA",Containers Builder since 2022,https://www.linkedin.com/in/amrethc/
Amruta Pardeshi,"Pune, India",Security Builder since 2023,https://www.linkedin.com/in/amruta-pardeshi-658179191/
An Nguyen,"Ho Chi Minh, Vietnam",Serverless Builder since 2022,https://www.linkedin.com/in/nthienan/
Ana Carmiña Mendoza,Mexico,Network Content & Delivery Builder since 2023,http://linkedin.com/in/anacarminamg
Ana Margarita Medina,Costa Rica,Containers Builder since 2021,https://www.anammedina.com/
Anaru Pereiha,"Te Whanganui-a-Tara, Aoterora",Dev Tools Builder since 2020,No URL
Anas Mohamed,"Cairo, Egypt",Machine Learning Builder since 2023,https://www.linkedin.com/in/anas-mohamed-4317821a7/
Anastasia Kondratieva,Spain,Security Builder since 2022,https://anastasiakondratieva.com/
Anchal Gupta,"Noida, India",Cloud Operations Builder since 2023,https://www.linkedin.com/in/anchal-gupta-b84416ab/
Anda-Catalina Giraud,Switzerland,Dev Tools Builder since 2022,https://www.linkedin.com/in/anda-catalina/
Anderson Londoño,"Medellin, Colombia",Machine Learning Builder since 2023,https://londoso.com/
Andra Somesan,"Bucharest, Romania",Serverless Builder since 2021,https://www.linkedin.com/in/andra-glavan-0003ab69/
Andre Ahumada,"Santiago, Chile",Data Builder since 2023,https://www.meetup.com/es/aws-girls-chile-group/
Andre Aliaman,"Singapore, Indonesia",Containers Builder since 2023,https://campsite.bio/iilness
Andrea Cavagna,"Milan, Italy",Dev Tools Builder since 2022,https://www.linkedin.com/in/andrea-cavagna-493179139/
Andrea Liao,"Vancouver, Canada",Data Builder since 2023,https://www.linkedin.com/in/andrea-liyu-liao/
Andrea Méndez Ortiz,Chile,Data Builder since 2024,https://www.linkedin.com/in/andreindata/
Andreas Jakl,Austria,Machine Learning Builder since 2021,https://www.andreasjakl.com
Andreas Rütten,Germany,Cloud Operations Builder since 2020,https://www.linkedin.com/in/andreas-ruetten/
Andreas Wittig,Germany,Dev Tools Builder since 2020,https://cloudonaut.io
Andree Toonk,"Vancouver, Canada",Security Builder since 2023,https://toonk.io/
Andreea Merariu,"London, United Kingdom",Serverless Builder since 2023,https://www.linkedin.com/in/andreea-merariu-3b2578196/
Andres Moreno,México,Serverless Builder since 2020,https://andmore.dev
Andrew Kalik,"Portland, USA",Data Builder since 2024,https://www.linkedin.com/in/askalik
Andrew Shieh,"Sunnyvale, USA",Cloud Operations Builder since 2020,https://www.linkedin.com/in/shandrew/
Andrey Devyatkin,Sweden and Spain,Security Builder since 2021,https://andreydevyatkin.com
Andrii Melashchenko,Germany,Serverless Builder since 2023,https://blog.javatask.dev/
André Cervantes,"Lima, Peru",Security Builder since 2020,https://www.linkedin.com/in/andrev22/
André Mulin,"Rio de Janeiro, Brazil",Networking & Content Delivery Builder since 2021,https://github.com/andremulin
Andrés Montoya,Colombia,Front-End Web & Mobile Builder since 2020,https://github.com/MontoyaAndres
Angelo Colleoni,Italy,Serverless Builder since 2020,https://www.linkedin.com/in/angelo-colleoni/
Angelo Mandato,"Columbus, USA",Front-End Web & Mobile Builder since 2021,https://angelo.mandato.com/amazon-web-services/
Angwe Folester,"Buea, Cameroon",Networking & Content Delivery Builder since 2022,https://www.linkedin.com/in/folester-angwe-78b3b54a/
Anil Augustine Chalissery,"Kerala, India",Containers Builder since 2022,https://anilaugustinechalissery.medium.com/
Anirban Das,"Kolkata, India",Cloud Operations Builder since 2022,https://www.linkedin.com/in/anirban-das-507816169?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Aniruddh Fataniya,"Vadodara, India",Serverless Builder since 2022,https://www.linkedin.com/in/aniruddh-fataniya-8060342a
Anirudh Marc Jaikumar,"Kuala Lumpur, Malaysia",Serverless Builder since 2023,https://amarcj.com
Anisat Akinbani,Nigeria,Front-End Web & Mobile Builder since 2022,https://linkedin.com/in/anisatakinbani
Anish Shilpakar,"Bhaktapur, Nepal",Data Builder since 2023,https://www.linkedin.com/in/anish-shilpakar13/
Anita Andonoska,Macedonia,Serverless Builder since 2022,https://www.linkedin.com/in/anitaandonoska/
Anja Bender,Germany,Dev Tools Builder since 2023,https://www.linkedin.com/in/anja-bender-83b08b1bb
Anjali Shukla,"Bengaluru, India",Security Builder since 2024,No URL
Ankit Mehta,"Bangkok, Thailand",Security Builder since 2022,No URL
Ankit Rao,"Pune, India",Security Builder since 2020,https://www.linkedin.com/in/ankit-rao/
Ankur Patel,"Bengaluru, India",Security Builder since 2023,https://ankurpatel18.com/
Ankur Roy,Nepal,Data Builder since 2023,https://www.linkedin.com/in/ankurr0y/
Anna Astori,"Boston, USA",Machine Learning Builder since 2024,https://www.linkedin.com/in/anna-astori
Anna Pastushko,Ukraine,Machine Learning Builder since 2023,https://www.linkedin.com/in/annpastushko/
Ansh Paul,"Kitchener, Canada",Storage Builder since 2023,https://anshpaul.me/
Anthony Basang,"Apayao, Philippines",Serverless Builder since 2023,https://www.linkedin.com/in/anthony-basang-79b872128
Anthony Wat,Canada,Dev Tools Builder since 2024,https://www.linkedin.com/in/anthonywat/
Anton Bakavets,"Minsk, Belarus",Containers Builder since 2022,https://www.linkedin.com/in/bakavets/
Anton Ganhammar,"Gothenburg, Sweden",Serverless Builder since 2024,https://www.ganhammar.se/
Antonio Lagrotteria,"Copenhagen, Denmark",Front-End Web & Mobile Builder since 2021,https://www.linkedin.com/in/lagrotteria
Antony Kunaifi,"Yogyakarta, Indonesia",Dev Tools Builder since 2020,https://www.linkedin.com/in/aankunaifi/
Anubhaw Sharma,"Jamshedpur, India",Dev Tools Builder since 2021,https://www.linkedin.com/in/anubhaw19/
Anuj Kothiyal,"London, United Kingdom",Serverless Builder since 2021,https://www.linkedin.com/in/anuj-kothiyal
Anup Gupta,"New Delhi, India",Containers Builder since 2023,https://www.linkedin.com/in/anupg-learn4tarakki/
Anup Kafle,"Itahari, Nepal",Front-End Web & Mobile Builder since 2023,https://www.linkedin.com/in/anup-kafle-6617a3196/
Anusha Viswanathan,"Chennai, India",Network Content & Delivery Builder since 2022,https://www.linkedin.com/in/anushaviswanathan/
Anxhela Berberi,"Tel-Aviv, Israel",Security Builder since 2023,https://www.linkedin.com/in/cyberlady/
Arafat Olayiwola,"Ile-Ife, Nigeria",Containers Builder since 2022,https://www.linkedin.com/in/arafat-olayiwola-b52087191/
Aravind Govindaraj,"Coventry, United Kingdom",Data Builder since 2023,https://www.linkedin.com/in/aravindgovindaraj/
Aravind Vadamalaimuthu,"Bangalore, India",Dev Tools Builder since 2022,https://www.linkedin.com/in/aravindv7/
Ari Palo,Finland,Dev Tools Builder since 2020,https://aripalo.com
Arijita Mitra,"Hyderabad, India",Serverless Builder since 2023,https://www.linkedin.com/in/arijita-mitra/
Aritra Nag,"Stockholm, Sweden",Containers Builder since 2022,https://aritranag20.github.io/
Arjen Schwarz,"Melbourne, Australia",Dev Tools Builder since 2023,https://ig.nore.me
Arjun Menon,India,Containers Builder since 2024,https://www.linkedin.com/in/arjunmenon-devops/
Arkadiusz Bolewski,"Lodz, Poland",Cloud Operations Builder since 2020,https://dev.to/arkbol
Armando Contreras,"Mexico City, Mexico",Security Builder since 2024,https://coc.monpasse.com
Armando J. Perez-Carreno,"San Antonio, USA",Front-End Web & Mobile Builder since 2021,https://perezcarreno.com/
Armielyn Obinguar,"Manila, Philippines, Philippines",Data Builder since 2023,https://www.linkedin.com/in/armielyn-obinguar-9229561b0/
Arnoldo Lima,"Fortaleza, Brazil",Storage Builder since 2023,https://www.linkedin.com/in/arnoldolima-arquietocloud/
Arockia Nirmal Amala Doss,"Karlsruhe, Germany",Data Builder since 2023,https://www.linkedin.com/in/arockianirmal/
Arpad Toth,Hungary,Security Builder since 2022,https://www.linkedin.com/in/arpadt
Arshad Zameer,Germany,Cloud Operations Builder since 2024,https://www.linkedin.com/in/arshad-zameer/
Artem Hatchenko,"Kharkiv, Ukraine",Data Builder since 2023,https://www.linkedin.com/in/hatchenko/
Arthur Nycael,"Belo Horizonte, Brasil",Cloud Operations Builder since 2022,https://ar7technology.com.br/
Artur Schneider,"Ulm, Germany",Cloud Operations Builder since 2022,https://www.linkedin.com/in/artur-schneider-cloud
Arunkumar Mannar Mannan,"New York, USA",Cloud Operations Builder since 2022,https://www.linkedin.com/in/arunkumarmannarmannan/
Aryya Widigdha,"Lumajang, Indonesia",Dev Tools Builder since 2022,https://aryya.id
Asanka Botheju,"Colombo, Sri Lanka",Serverless Builder since 2023,https://www.linkedin.com/in/asankaboteju/
Asanka Nissanka,Sri Lanka,Serverless Builder since 2021,https://asankan.info
Asharib Ahmed,"Karachi, Pakistan",Machine Learning Builder since 2021,https://bit.ly/asharibninja
Ashay Doshi,"Ahmedabad, India",Security Builder since 2021,https://www.linkedin.com/in/ashay-doshi-2a119a21/
Ashish Gajjar,"Ahmedabad, India",Cloud Operations Builder since 2023,https://www.linkedin.com/in/gajjarashish/
Ashish Kumar,"Gurugram, India",Containers Builder since 2023,https://www.linkedin.com/in/ashishkumar99/
Ashish kasaudhan,"Noida, India",Containers Builder since 2023,https://www.linkedin.com/in/ashish-kasaudhan-713a4225
Ashishkumar Dedaniya,India,Graviton Arm Builder since 2021,https://www.linkedin.com/in/ashish-dedaniya/
